Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Demon's Souls,1.4 million,2020-11-12,Action role-playing,Bluepoint Games,Sony Interactive Entertainment,PlayStation 5
Ratchet & Clank: Rift Apart,3.97 million,2021-06-11,"Platform, third-person shooter",Insomniac Games,Sony Interactive Entertainment,PlayStation 5
Elden Ring,3.64 million,2022-02-25,Action role-playing,FromSoftware,Bandai Namco EntertainmentJP: FromSoftware,PlayStation 5
Final Fantasy XVI,3 million,2023-06-22,Action role-playing,Square Enix Creative Business Unit III,Square Enix,PlayStation 5
EA Sports FC 24,1.04 million,2023-09-29,Sports,EA CanadaEA Bucharest,EA Sports,PlayStation 5
Marvel's Spider-Man 2,10 million,2023-10-20,Action-adventure,Insomniac Games,Sony Interactive Entertainment,PlayStation 5
