Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Octopath Traveler,2.16 million,2018-07-13,Role-playing,Square EnixAcquire,JP: Square EnixNA/PAL: Nintendo,Nintendo Switch
Taiko no Tatsujin: Drum 'n' Fun!,2.27 million,2018-07-19,Rhythm,Bandai Namco Studios,Bandai Namco Entertainment,Nintendo Switch
Dragon Ball FighterZ,2.43 million,2018-09-27,Fighting,Arc System Works,Bandai Namco Entertainment,Nintendo Switch
Super Mario Party,20.66 million,2018-10-05,Party,NDcube,Nintendo,Nintendo Switch
Dark Souls Remastered,1.15 million,2018-10-19,Action role-playing game,FromSoftware,Bandai Namco Entertainment,Nintendo Switch
"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",15.07 million,2018-11-16,Role-playing,Game Freak,The Pokémon CompanyNintendo,Nintendo Switch
Super Smash Bros. Ultimate,34.22 million,2018-12-07,Fighting,Bandai Namco StudiosSora Ltd.,Nintendo,Nintendo Switch
Fitness Boxing,1 million,2018-12-20,Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo,Nintendo Switch
New Super Mario Bros. U Deluxe,17.45 million,2019-01-11,Platformer,Nintendo EPD,Nintendo,Nintendo Switch
Yoshi's Crafted World,3.35 million,2019-03-29,Platformer,Good-Feel,Nintendo,Nintendo Switch
Dragon's Dogma: Dark Arisen,1.10 million,2019-04-23,Role-playing,Capcom,Capcom,Nintendo Switch
Thief Simulator,1 million,2019-05-19,Stealth,Noble Muffins,Forever Entertainment,Nintendo Switch
Super Mario Maker 2,8.42 million,2019-06-28,PlatformerLevel editor,Nintendo EPD,Nintendo,Nintendo Switch
Marvel Ultimate Alliance 3: The Black Order,1.60 million,2019-07-19,Action role-playing,Team Ninja,Nintendo,Nintendo Switch
Fire Emblem: Three Houses,4.12 million,2019-07-26,Tactical role-playing,Intelligent SystemsKoei Tecmo,Nintendo,Nintendo Switch
Astral Chain,1.33 million,2019-08-30,Action-adventurehack and slash,PlatinumGames,Nintendo,Nintendo Switch
The Legend of Zelda: Link's Awakening,6.46 million,2019-09-20,Action-adventure,Grezzo,Nintendo,Nintendo Switch
Ring Fit Adventure,15.38 million,2019-10-18,Exergamerole-playing,Nintendo EPD,Nintendo,Nintendo Switch
Resident Evil 6,1 million,2019-10-29,Survival horror,Capcom,Capcom,Nintendo Switch
Luigi's Mansion 3,14.25 million,2019-10-31,Action-adventure,Next Level Games,Nintendo,Nintendo Switch
Mario & Sonic at the Olympic Games Tokyo 2020,1.02 million,2019-11-01,Sports,Sega,Sega,Nintendo Switch
Pokémon Sword and Shield,26.27 million,2019-11-15,Role-playing,Game Freak,The Pokémon CompanyNintendo,Nintendo Switch
Dr Kawashima's Brain Training for Nintendo Switch,1.27 million,2019-12-27,Puzzle,"Nintendo EPD, indieszero",Nintendo,Nintendo Switch
Pokémon Mystery Dungeon: Rescue Team DX,1.99 million,2020-03-06,Roguelike,Spike Chunsoft,Nintendo,Nintendo Switch
Animal Crossing: New Horizons,45.36 million,2020-03-20,Social simulation,Nintendo EPD,Nintendo,Nintendo Switch
Xenoblade Chronicles: Definitive Edition,1.88 million,2020-05-29,Action role-playing,Monolith Soft,Nintendo,Nintendo Switch
Clubhouse Games: 51 Worldwide Classics,4.64 million,2020-06-05,Tabletop game,NDcube,Nintendo,Nintendo Switch
Paper Mario: The Origami King,3.47 million,2020-07-17,Role-playingaction-adventure,Intelligent Systems,Nintendo,Nintendo Switch
Super Mario 3D All-Stars,9.07 million,2020-09-18,Platformercompilation,Nintendo,Nintendo,Nintendo Switch
Mario Kart Live: Home Circuit,1.73 million,2020-10-16,Kart racingaugmented reality,Velan Studios,Nintendo,Nintendo Switch
Pikmin 3 Deluxe,2.40 million,2020-10-30,Real-time strategy,Eighting,Nintendo,Nintendo Switch
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",4 million,2020-11-19,Board game,Konami,JP: Konami,Nintendo Switch
