Title,Copies sold,As of,Release date,Genre,Developer,Publisher,Console_name
Pokémon Mystery Dungeon: Rescue Team DX,1.99 million,"December 31, 2022",2020-03-06,Roguelike,Spike Chunsoft,Nintendo,Nintendo Switch
Animal Crossing: New Horizons,45.36 million,"March 31, 2024",2020-03-20,Social simulation,Nintendo EPD,Nintendo,Nintendo Switch
Xenoblade Chronicles: Definitive Edition,1.88 million,"December 31, 2022",2020-05-29,Action role-playing,Monolith Soft,Nintendo,Nintendo Switch
Clubhouse Games: 51 Worldwide Classics,4.64 million,"December 31, 2022",2020-06-05,Tabletop game,NDcube,Nintendo,Nintendo Switch
Paper Mario: The Origami King,3.47 million,"December 31, 2022",2020-07-17,Role-playingaction-adventure,Intelligent Systems,Nintendo,Nintendo Switch
Super Mario 3D All-Stars,9.07 million,"December 31, 2021",2020-09-18,Platformercompilation,Nintendo,Nintendo,Nintendo Switch
Mario Kart Live: Home Circuit,1.73 million,"December 31, 2022",2020-10-16,Kart racingaugmented reality,Velan Studios,Nintendo,Nintendo Switch
Pikmin 3 Deluxe,2.40 million,"December 31, 2022",2020-10-30,Real-time strategy,Eighting,Nintendo,Nintendo Switch
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",4 million,"July 19, 2023",2020-11-19,Board game,Konami,JP: Konami,Nintendo Switch
Hyrule Warriors: Age of Calamity,4 million,"January 4, 2022",2020-11-20,Hack and slash,Omega Force,JP: Koei TecmoNA/PAL: Nintendo,Nintendo Switch
Fitness Boxing 2: Rhythm and Exercise,1 million,"December 9, 2021",2020-12-04,Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo,Nintendo Switch
Among Us,3.20 million,"December 31, 2020",2020-12-15,Partysocial deduction,Innersloth,Innersloth,Nintendo Switch
Super Mario 3D World + Bowser's Fury,13.47 million,"March 31, 2024",2021-02-12,Platformer,Nintendo EPD,Nintendo,Nintendo Switch
Story of Seasons: Pioneers of Olive Town,1 million,"November 18, 2021",2021-02-25,Simulationrole-playing,Marvelous,Xseed Games,Nintendo Switch
Monster Hunter Rise,8.02 million,"May 21, 2023",2021-03-26,Action role-playing,Capcom,Capcom,Nintendo Switch
New Pokémon Snap,2.74 million,"May 15, 2022",2021-04-30,Photography,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo,Nintendo Switch
Miitopia,1.79 million,"December 31, 2022",2021-05-21,Role-playing,Grezzo,Nintendo,Nintendo Switch
Game Builder Garage,1.15 million,"December 31, 2022",2021-06-11,Programming,Nintendo EPD,Nintendo,Nintendo Switch
Mario Golf: Super Rush,2.48 million,"December 31, 2022",2021-06-25,Sports,Camelot Software Planning,Nintendo,Nintendo Switch
The Legend of Zelda: Skyward Sword HD,4.15 million,"December 31, 2022",2021-07-16,Action-adventure,Tantalus Media,Nintendo,Nintendo Switch
WarioWare: Get It Together!,1.34 million,"December 31, 2022",2021-09-10,Party,Intelligent Systems,Nintendo,Nintendo Switch
Metroid Dread,3.07 million,"December 31, 2022",2021-10-08,Action-adventure,MercurySteamNintendo EPD,Nintendo,Nintendo Switch
Mario Party Superstars,12.89 million,"March 31, 2024",2021-10-29,Party,NDcube,Nintendo,Nintendo Switch
Shin Megami Tensei V,1.10 million,"December 31, 2022",2021-11-11,Role-playing,Atlus,JP: AtlusNA: SegaPAL: Nintendo,Nintendo Switch
Pokémon Brilliant Diamond and Shining Pearl,15.06 million,"December 31, 2022",2021-11-19,Role-playing,ILCA,The Pokémon CompanyNintendo,Nintendo Switch
Big Brain Academy: Brain vs. Brain,1.94 million,"December 31, 2022",2021-12-03,Puzzle,"Nintendo EPD, indieszero",Nintendo,Nintendo Switch
Suika Game,7.40 million,"April 11, 2024",2021-12-09,Puzzle,Aladdin X,Aladdin X,Nintendo Switch
Pokémon Legends: Arceus,14.83 million,"March 31, 2023",2022-01-28,Action role-playing,Game Freak,The Pokémon CompanyNintendo,Nintendo Switch
Kirby and the Forgotten Land,7.52 million,"March 31, 2024",2022-03-25,Platformer,HAL Laboratory,Nintendo,Nintendo Switch
Nintendo Switch Sports,13.11 million,"March 31, 2024",2022-04-29,Sports,Nintendo EPD,Nintendo,Nintendo Switch
Mario Strikers: Battle League,2.54 million,"March 31, 2023",2022-06-10,Sports,Next Level Games,Nintendo,Nintendo Switch
Fire Emblem Warriors: Three Hopes,1 million,"August 17, 2022",2022-06-24,Hack and slashRole-playing,Omega Force,JP: Koei TecmoNA/PAL: Nintendo,Nintendo Switch
Xenoblade Chronicles 3,1.86 million,"March 31, 2023",2022-07-29,Action role-playing,Monolith Soft,Nintendo,Nintendo Switch
Splatoon 3,11.96 million,"March 31, 2024",2022-09-09,Third-person shooter,Nintendo EPD,Nintendo,Nintendo Switch
Mario + Rabbids Sparks of Hope,3 million,"January 15, 2024",2022-10-20,Tactical role-playing,Ubisoft ParisUbisoft Milan,NA/PAL: Ubisoft JP: Nintendo,Nintendo Switch
