Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Resistance: Fall of Man,2.5 million,2006-11-14,First-person shooter,Insomniac Games,Sony Computer Entertainment,PlayStation 3
MotorStorm,3.31 million,2006-12-14,Racing,Evolution Studios,Sony Computer Entertainment,PlayStation 3
Heavenly Sword,1.5 million,2007-09-12,Action-adventurehack and slash,Ninja Theory,Sony Computer Entertainment,PlayStation 3
Ratchet & Clank Future: Tools of Destruction,1.25 million,2007-10-23,Platformaction-adventure,Insomniac Games,Sony Computer Entertainment,PlayStation 3
Call of Duty 4: Modern Warfare,1.977 million,2007-11-05,First-person shooter,Infinity Ward,Activision,PlayStation 3
Lego Star Wars: The Complete Saga,2.16 million,2007-11-06,Action-adventure,Traveller's Tales,LucasArts,PlayStation 3
Uncharted: Drake's Fortune,4.8 million,2007-11-16,Action-adventurethird-person shooter,Naughty Dog,Sony Computer Entertainment,PlayStation 3
Gran Turismo 5 Prologue,5.35 million,2007-12-13,Sim racing,Polyphony Digital,Sony Computer Entertainment,PlayStation 3
Grand Theft Auto IV,4.33 million,2008-04-29,Action-adventure,Rockstar North,Rockstar Games,PlayStation 3
Metal Gear Solid 4: Guns of the Patriots,6 million,2008-06-12,Action-adventurestealth,Kojima Productions,Konami,PlayStation 3
LittleBigPlanet,3 million,2008-10-27,Puzzle-platformersandbox,Media Molecule,Sony Computer Entertainment,PlayStation 3
MotorStorm: Pacific Rift,1 million,2008-10-28,Racing,Evolution Studios,Sony Computer Entertainment,PlayStation 3
Call of Duty: World at War,1.83 million,2008-11-11,First-person shooter,Treyarch,Activision,PlayStation 3
Mortal Kombat vs. DC Universe,2 million,2008-11-16,Fighting,Midway Games,Midway Games,PlayStation 3
Demon's Souls,1.7 million,2009-02-05,Action role-playing,FromSoftware,JP: Sony Computer EntertainmentNA: Atlus USAPAL: Namco Bandai Games,PlayStation 3
Killzone 2,2 million,2009-02-26,First-person shooter,Guerrilla Games,Sony Computer Entertainment,PlayStation 3
Resident Evil 5,1.62 million,2009-03-05,Third-person shooter,Capcom,Capcom,PlayStation 3
inFAMOUS,~2 million,2009-05-26,Action-adventure,Sucker Punch Productions,Sony Computer Entertainment,PlayStation 3
Batman: Arkham Asylum,4.23 million,2009-08-25,Action-adventure,Rocksteady Studios,Warner Bros. GamesEidos Interactive,PlayStation 3
Uncharted 2: Among Thieves,6.5 million,2009-10-13,Action-adventurethird-person shooter,Naughty Dog,Sony Computer Entertainment,PlayStation 3
Call of Duty: Modern Warfare 2,4.8 million,2009-11-10,First-person shooter,Infinity Ward,Activision,PlayStation 3
God of War Collection,2.42 million,2009-11-17,Action-adventurehack and slash,Santa Monica StudioBluepoint Games,WW: Sony Computer EntertainmentJP: Capcom,PlayStation 3
Final Fantasy XIII,5 million,2009-12-17,Role-playing,Square Enix 1st Production Department,Square Enix,PlayStation 3
Heavy Rain,3.03 million,2010-02-23,Interactive dramaaction-adventure,Quantic Dream,Sony Computer Entertainment,PlayStation 3
God of War III,5.2 million,2010-03-16,Action-adventurehack and slash,Santa Monica Studio,Sony Computer Entertainment,PlayStation 3
Red Dead Redemption,1.35 million,2010-05-18,Action-adventure,Rockstar San Diego,Rockstar Games,PlayStation 3
Call of Duty: Black Ops,3.269 million,2010-11-09,First-person shooter,Treyarch,Activision,PlayStation 3
Gran Turismo 5,11.95 million,2010-11-24,Sim racing,Polyphony Digital,Sony Computer Entertainment,PlayStation 3
Dark Souls,1.9 million,2011-09-22,Action role-playing,FromSoftware,WW: Namco Bandai GamesJP: FromSoftware,PlayStation 3
Batman: Arkham City,5.48 million,2011-10-18,Action-adventure,Rocksteady Studios,Warner Bros. Games,PlayStation 3
Uncharted 3: Drake's Deception,6.6 million,2011-11-01,Action-adventurethird-person shooter,Naughty Dog,Sony Computer Entertainment,PlayStation 3
Ni no Kuni: Wrath of the White Witch,1.1 million,2011-11-17,Role-playing,Level-5,WW: Namco Bandai GamesJP: Level-5,PlayStation 3
The Last of Us,7 million,2013-06-14,Action-adventuresurvival horror,Naughty Dog,Sony Computer Entertainment,PlayStation 3
Grand Theft Auto V,29.52 million,2013-09-17,Action-adventure,Rockstar North,Rockstar Games,PlayStation 3
Beyond: Two Souls,2.8 million,2013-10-08,Interactive dramaaction-adventure,Quantic Dream,Sony Computer Entertainment,PlayStation 3
Batman: Arkham Origins,2.29 million,2013-10-25,Action-adventure,WB Games MontréalSplash Damage,Warner Bros. Games,PlayStation 3
Gran Turismo 6,5.22 million,2013-12-06,Sim racing,Polyphony Digital,Sony Computer Entertainment,PlayStation 3
Minecraft: PlayStation 3 Edition,1.5 million,2013-12-17,Sandboxsurvival,4J Studios,Sony Computer Entertainment,PlayStation 3
Dark Souls II,1.1 million,2014-03-11,Action role-playing,FromSoftware,WW: Bandai Namco GamesJP: FromSoftware,PlayStation 3
