Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Pro Evolution Soccer 6[bm],1.889 million,2006-04-27,Sports,Konami,Konami,PlayStation 2
Grand Theft Auto: Liberty City Stories,1.702 million,2006-06-06,Action-adventure,Rockstar LeedsRockstar North,Rockstar Games,PlayStation 2
Cars,1.21 million,2006-06-06,Action-adventureRacing,Rainbow Studios,THQ,PlayStation 2
NCAA Football 07,1.32 million,2006-07-18,Sports,EA Tiburon,EA Sports,PlayStation 2
Madden NFL 07,2.8 million,2006-08-22,Sports,EA Tiburon,EA Sports,PlayStation 2
Lego Star Wars II: The Original Trilogy,1.38 million,2006-09-12,Action-adventure,Traveller's Tales,LucasArts,PlayStation 2
Dragon Ball Z: Budokai Tenkaichi 2,1.18 million,2006-10-05,Fighting,Spike,JP/EU: Namco Bandai GamesNA/AU: Atari,PlayStation 2
Scarface: The World Is Yours,1.22 million,2006-10-08,Action-adventure,Radical Entertainment,Vivendi Games,PlayStation 2
Bully,1.5 million,2006-10-17,Action-adventure,Rockstar Vancouver,Rockstar Games,PlayStation 2
Guitar Hero II,3.41 million,2006-11-07,Musicrhythm,Harmonix,RedOctane,PlayStation 2
WWE SmackDown vs. Raw 2007,1.53 million,2006-11-10,Sports,Yuke's,THQ,PlayStation 2
God of War II,4.24 million,2007-03-13,Action-adventurehack and slash,Santa Monica Studio,WW: Sony Computer EntertainmentJP: Capcom,PlayStation 2
Guitar Hero Encore: Rocks the 80s,1 million,2007-07-24,Musicrhythm,Harmonix,Activision,PlayStation 2
Madden NFL 08,1.9 million,2007-08-14,Sports,EA Tiburon,EA Sports,PlayStation 2
Dragon Ball Z: Budokai Tenkaichi 3,3 million,2007-10-04,Fighting,Spike,JP/EU: Namco Bandai GamesNA/AU: Atari,PlayStation 2
Guitar Hero III: Legends of Rock,3.234 million,2007-10-28,Musicrhythm,Neversoft,Activision,PlayStation 2
